fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Belle-vue 2,120.0,0.372,9.4636,dico:belle-vue 2
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Usine SATOGA,120.0,0.3377,9.4809,dico_partiel:satoga
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Charbonnages,120.0,0.4362,9.4462,dico:charbonnages
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Bel air,120.0,0.4442,9.446,dico:bel air
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Diba Diba,120.0,0.4362,9.4462,dico:diba diba
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Ondogo,120.0,0.4469,9.4645,dico:ondogo
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Ambowé,120.0,0.4456,9.4339,dico:ambowe
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Ecole Béret Vert,120.0,0.4411,9.4626,dico:ecole beret vert
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Pont d'Akébé,120.0,0.3929,9.4589,dico:pont d akebe
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,SNI Likouala,120.0,0.3929,9.4589,dico_partiel:la sni likouala
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Akébé frontière,120.0,0.3929,9.4589,dico:akebe frontiere
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Akébé Poteau,120.0,0.3929,9.4589,dico:akebe poteau
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Akébé ville,120.0,0.3929,9.4589,dico:akebe ville
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Likouala,120.0,0.3929,9.4589,dico_partiel:la sni likouala
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Camp Baraka,120.0,0.3763,9.4613,dico:camp baraka
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Plaine-Niger,120.0,0.3763,9.4613,patch:Plaine-Niger
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Lycée d'Etat,120.0,0.428,9.4225,patch:Lycée d'Etat
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Sablière,120.0,0.4861,9.3916,dico:sabliere
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Derrière le Radisson,120.0,0.4301,9.4204,dico:derriere le radisson
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Tropicana,120.0,0.4485,9.4134,dico:tropicana
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Tahiti,120.0,0.4485,9.4134,dico:tahiti
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Voie Express Coté OYO,120.0,0.4376,9.4172,dico:voie express cote oyo
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Conseil Economique et Social,120.0,0.4376,9.4172,dico:conseil economique et social
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,BAD,120.0,0.4301,9.4204,dico:bad
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Camp de Gaulle,120.0,0.4419,9.4273,dico:camp de gaulle
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Aéroport,120.0,0.4615,9.4101,dico:aeroport
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Cité des ailes,120.0,0.4615,9.4101,dico:cite des ailes
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Asecna,120.0,0.4615,9.4101,dico:asecna
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Ambassade du Maroc,120.0,0.4301,9.4204,dico:ambassade du maroc
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Base 01,120.0,0.4419,9.4273,dico:base 01
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Camp de Gaulle,120.0,0.4419,9.4273,dico:camp de gaulle
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Ambassade des Etats-Unis,120.0,0.4301,9.4204,dico:ambassade des etats-unis
